id,RCS,nearestPass
13812,0.0220,911245.5625
18945,5.8960,1575452.5
22442,0.0185,947284.6875
27742,0.0069,956151.9375
31296,0.0055,843714.0625
10934,0.6972,1562333.625
40021,0.0370,623408.0
22375,0.1415,929443.3125
10062,8.8880,782317.0625
24843,0.8020,2926128.0
3048,4.1484,734676.4375
25475,0.6898,814667.8125
38011,0.7299,636462.5625
13567,0.0105,932057.875
25992,0.0460,788525.625
17800,0.0610,1048273.0
4689,0.0308,1143717.75
4864,0.0620,1105682.375
4744,0.1690,1062750.375
40029,0.0767,630007.125
40959,0.4530,699312.5625
